48 0 -90.0 249.230769231
48 1 -66.0 249.230769231
48 2 -42.0 249.230769231
48 3 -18.0 249.230769231
49 0 -90.0 276.923076923
49 1 -66.0 276.923076923
49 2 -42.0 276.923076923
49 3 -18.0 276.923076923
50 0 -90.0 304.615384615
50 1 -66.0 304.615384615
50 2 -42.0 304.615384615
50 3 -18.0 304.615384615
51 0 -90.0 332.307692308
51 1 -66.0 332.307692308
51 2 -42.0 332.307692308
51 3 -18.0 332.307692308
