0	0	54	0
0	1	78	0
0	2	78	180
0	3	54	180
1	0	54	27.6923076923
1	1	78	27.6923076923
1	2	78	207.692307692
1	3	54	207.692307692
2	0	54	55.3846153846
2	1	78	55.3846153846
2	2	78	235.384615385
2	3	54	235.384615385
3	0	54	83.0769230769
3	1	78	83.0769230769
3	2	78	263.076923077
3	3	54	263.076923077
4	0	54	110.769230769
4	1	78	110.769230769
4	2	78	290.769230769
4	3	54	290.769230769
5	0	54	138.461538462
5	1	78	138.461538462
5	2	78	318.461538462
5	3	54	318.461538462
6	0	54	166.153846154
6	1	78	166.153846154
6	2	78	346.153846154
6	3	54	346.153846154
7	0	54	193.846153846
7	1	78	193.846153846
7	2	78	13.8461538462
7	3	54	13.8461538462
8	0	54	221.538461538
8	1	78	221.538461538
8	2	78	41.5384615385
8	3	54	41.5384615385
9	0	54	249.230769231
9	1	78	249.230769231
9	2	78	69.2307692308
9	3	54	69.2307692308
10	0	54	276.923076923
10	1	78	276.923076923
10	2	78	96.9230769231
10	3	54	96.9230769231
11	0	54	304.615384615
11	1	78	304.615384615
11	2	78	124.615384615
11	3	54	124.615384615
12	0	54	332.307692308
12	1	78	332.307692308
12	2	78	152.307692308
12	3	54	152.307692308
